Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.1; 14; 15; LeeShin2014; 504; 0; 496
0.2; 14; 15; Alg1; 844; 156; 0
0.2; 14; 15; LeeShin2014; 28; 0; 972
0.3; 14; 15; Alg1; 408; 592; 0
0.3; 14; 15; LeeShin2014; 2; 0; 998
0.4; 14; 15; Alg1; 178; 822; 0
0.4; 14; 15; LeeShin2014; 1; 0; 999
0.5; 14; 15; Alg1; 71; 929; 0
0.5; 14; 15; LeeShin2014; 0; 0; 1000
0.6; 14; 15; Alg1; 28; 972; 0
0.6; 14; 15; LeeShin2014; 0; 0; 1000
0.7; 14; 15; Alg1; 20; 980; 0
0.7; 14; 15; LeeShin2014; 0; 0; 1000
0.8; 14; 15; Alg1; 12; 988; 0
0.8; 14; 15; LeeShin2014; 0; 0; 1000
0.9; 14; 15; Alg1; 3; 997; 0
0.9; 14; 15; LeeShin2014; 0; 0; 1000
0.1; 15; 16; Alg1; 999; 1; 0
0.1; 15; 16; LeeShin2014; 503; 0; 497
0.2; 15; 16; Alg1; 824; 176; 0
0.2; 15; 16; LeeShin2014; 19; 0; 981
0.3; 15; 16; Alg1; 336; 664; 0
0.3; 15; 16; LeeShin2014; 1; 0; 999
0.4; 15; 16; Alg1; 134; 866; 0
0.4; 15; 16; LeeShin2014; 1; 0; 999
0.5; 15; 16; Alg1; 52; 948; 0
0.5; 15; 16; LeeShin2014; 0; 0; 1000
0.6; 15; 16; Alg1; 19; 981; 0
0.6; 15; 16; LeeShin2014; 0; 0; 1000
0.7; 15; 16; Alg1; 12; 988; 0
0.7; 15; 16; LeeShin2014; 0; 0; 1000
0.8; 15; 16; Alg1; 7; 993; 0
0.8; 15; 16; LeeShin2014; 1; 0; 999
0.9; 15; 16; Alg1; 2; 998; 0
0.9; 15; 16; LeeShin2014; 0; 0; 1000
0.1; 16; 17; Alg1; 999; 1; 0
0.1; 16; 17; LeeShin2014; 509; 0; 491
0.2; 16; 17; Alg1; 797; 203; 0
0.2; 16; 17; LeeShin2014; 18; 0; 982
0.3; 16; 17; Alg1; 347; 653; 0
0.3; 16; 17; LeeShin2014; 0; 0; 1000
0.4; 16; 17; Alg1; 134; 866; 0
0.4; 16; 17; LeeShin2014; 0; 0; 1000
0.5; 16; 17; Alg1; 39; 961; 0
0.5; 16; 17; LeeShin2014; 0; 0; 1000
0.6; 16; 17; Alg1; 26; 974; 0
0.6; 16; 17; LeeShin2014; 0; 0; 1000
0.7; 16; 17; Alg1; 4; 996; 0
0.7; 16; 17; LeeShin2014; 0; 0; 1000
0.8; 16; 17; Alg1; 3; 997; 0
0.8; 16; 17; LeeShin2014; 0; 0; 1000
0.9; 16; 17; Alg1; 0; 1000; 0
0.9; 16; 17; LeeShin2014; 0; 0; 1000
0.1; 17; 18; Alg1; 1000; 0; 0
0.1; 17; 18; LeeShin2014; 505; 0; 495
0.2; 17; 18; Alg1; 735; 265; 0
0.2; 17; 18; LeeShin2014; 10; 0; 990
0.3; 17; 18; Alg1; 284; 716; 0
0.3; 17; 18; LeeShin2014; 1; 0; 999
0.4; 17; 18; Alg1; 106; 894; 0
0.4; 17; 18; LeeShin2014; 0; 0; 1000
0.5; 17; 18; Alg1; 34; 966; 0
0.5; 17; 18; LeeShin2014; 0; 0; 1000
0.6; 17; 18; Alg1; 13; 987; 0
0.6; 17; 18; LeeShin2014; 0; 0; 1000
0.7; 17; 18; Alg1; 5; 995; 0
0.7; 17; 18; LeeShin2014; 0; 0; 1000
0.8; 17; 18; Alg1; 1; 999; 0
0.8; 17; 18; LeeShin2014; 0; 0; 1000
0.9; 17; 18; Alg1; 1; 999; 0
0.9; 17; 18; LeeShin2014; 0; 0; 1000
