Util; ProcNum; TaskNum; Alg; FeasNum; InfeasNum; UnkNum
0.2; 16; 17; BaekKwakLee2020; 53; 0; 947
0.3; 16; 17; Alg1; 344; 656; 0
0.3; 16; 17; BaekKwakLee2020; 3; 0; 997
0.4; 16; 17; Alg1; 117; 883; 0
0.4; 16; 17; BaekKwakLee2020; 1; 0; 999
0.5; 16; 17; Alg1; 63; 937; 0
0.5; 16; 17; BaekKwakLee2020; 2; 0; 998
0.6; 16; 17; Alg1; 17; 983; 0
0.6; 16; 17; BaekKwakLee2020; 0; 0; 1000
0.7; 16; 17; Alg1; 5; 995; 0
0.7; 16; 17; BaekKwakLee2020; 2; 0; 998
0.8; 16; 17; Alg1; 4; 996; 0
0.8; 16; 17; BaekKwakLee2020; 0; 0; 1000
0.9; 16; 17; Alg1; 4; 996; 0
0.9; 16; 17; BaekKwakLee2020; 0; 0; 1000
0.1; 17; 18; Alg1; 999; 1; 0
0.1; 17; 18; BaekKwakLee2020; 685; 0; 315
0.2; 17; 18; Alg1; 777; 223; 0
0.2; 17; 18; BaekKwakLee2020; 44; 0; 956
0.3; 17; 18; Alg1; 316; 684; 0
0.3; 17; 18; BaekKwakLee2020; 5; 0; 995
0.4; 17; 18; Alg1; 116; 884; 0
0.4; 17; 18; BaekKwakLee2020; 1; 0; 999
0.5; 17; 18; Alg1; 35; 965; 0
0.5; 17; 18; BaekKwakLee2020; 1; 0; 999
0.6; 17; 18; Alg1; 12; 988; 0
0.6; 17; 18; BaekKwakLee2020; 0; 0; 1000
0.7; 17; 18; Alg1; 2; 998; 0
0.7; 17; 18; BaekKwakLee2020; 0; 0; 1000
0.8; 17; 18; Alg1; 8; 992; 0
0.8; 17; 18; BaekKwakLee2020; 1; 0; 999
0.9; 17; 18; Alg1; 1; 999; 0
0.9; 17; 18; BaekKwakLee2020; 0; 0; 1000
0.1; 18; 19; Alg1; 999; 1; 0
0.1; 18; 19; BaekKwakLee2020; 675; 0; 325
0.2; 18; 19; Alg1; 730; 270; 0
0.2; 18; 19; BaekKwakLee2020; 29; 0; 971
0.3; 18; 19; Alg1; 252; 748; 0
0.3; 18; 19; BaekKwakLee2020; 2; 0; 998
0.4; 18; 19; Alg1; 81; 919; 0
0.4; 18; 19; BaekKwakLee2020; 2; 0; 998
0.5; 18; 19; Alg1; 22; 978; 0
0.5; 18; 19; BaekKwakLee2020; 1; 0; 999
0.6; 18; 19; Alg1; 10; 990; 0
0.6; 18; 19; BaekKwakLee2020; 1; 0; 999
0.7; 18; 19; Alg1; 4; 996; 0
0.7; 18; 19; BaekKwakLee2020; 2; 0; 998
0.8; 18; 19; Alg1; 1; 999; 0
0.8; 18; 19; BaekKwakLee2020; 0; 0; 1000
0.9; 18; 19; Alg1; 2; 998; 0
0.9; 18; 19; BaekKwakLee2020; 0; 0; 1000
0.1; 19; 20; Alg1; 998; 2; 0
0.1; 19; 20; BaekKwakLee2020; 679; 0; 321
0.2; 19; 20; Alg1; 705; 295; 0
0.2; 19; 20; BaekKwakLee2020; 21; 0; 979
0.3; 19; 20; Alg1; 269; 731; 0
0.3; 19; 20; BaekKwakLee2020; 1; 0; 999
0.4; 19; 20; Alg1; 78; 922; 0
0.4; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.5; 19; 20; Alg1; 28; 972; 0
0.5; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.6; 19; 20; Alg1; 9; 991; 0
0.6; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.7; 19; 20; Alg1; 5; 995; 0
0.7; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.8; 19; 20; Alg1; 4; 996; 0
0.8; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.9; 19; 20; Alg1; 2; 998; 0
0.9; 19; 20; BaekKwakLee2020; 0; 0; 1000
0.1; 20; 21; Alg1; 994; 6; 0
0.1; 20; 21; BaekKwakLee2020; 692; 0; 308
0.2; 20; 21; Alg1; 627; 373; 0
0.2; 20; 21; BaekKwakLee2020; 19; 0; 981
0.3; 20; 21; Alg1; 219; 781; 0
0.3; 20; 21; BaekKwakLee2020; 1; 0; 999
0.4; 20; 21; Alg1; 59; 941; 0
0.4; 20; 21; BaekKwakLee2020; 1; 0; 999
0.5; 20; 21; Alg1; 24; 976; 0
0.5; 20; 21; BaekKwakLee2020; 0; 0; 1000
0.6; 20; 21; Alg1; 7; 993; 0
0.6; 20; 21; BaekKwakLee2020; 0; 0; 1000
0.7; 20; 21; Alg1; 4; 996; 0
0.7; 20; 21; BaekKwakLee2020; 0; 0; 1000
0.8; 20; 21; Alg1; 0; 1000; 0
0.8; 20; 21; BaekKwakLee2020; 0; 0; 1000
0.9; 20; 21; Alg1; 0; 1000; 0
0.9; 20; 21; BaekKwakLee2020; 0; 0; 1000
0.1; 21; 22; Alg1; 998; 2; 0
0.1; 21; 22; BaekKwakLee2020; 655; 0; 345
0.2; 21; 22; Alg1; 638; 362; 0
0.2; 21; 22; BaekKwakLee2020; 7; 0; 993
0.3; 21; 22; Alg1; 220; 780; 0
0.3; 21; 22; BaekKwakLee2020; 0; 0; 1000
0.4; 21; 22; Alg1; 46; 954; 0
0.4; 21; 22; BaekKwakLee2020; 1; 0; 999
0.5; 21; 22; Alg1; 9; 991; 0
0.5; 21; 22; BaekKwakLee2020; 0; 0; 1000
0.6; 21; 22; Alg1; 8; 992; 0
0.6; 21; 22; BaekKwakLee2020; 0; 0; 1000
0.7; 21; 22; Alg1; 0; 1000; 0
0.7; 21; 22; BaekKwakLee2020; 0; 0; 1000
0.8; 21; 22; Alg1; 2; 998; 0
0.8; 21; 22; BaekKwakLee2020; 0; 0; 1000
0.9; 21; 22; Alg1; 0; 1000; 0
0.9; 21; 22; BaekKwakLee2020; 0; 0; 1000
